Code;Description
SAD03287;Siloman
SAB02167;Siloman - docks
SAB02169;Siloman - quarry
SAC01922;Silversmith 
SAB02171;Sister (Hospital)
SAB02172;Site Agent
SAB02176;Skiing - Snow - Prof Instructor
SAB02177;Skipper
SAB02181;Slate Cutter
SAB02182;Slate Dresser
SAB02183;Slate Splitter
SAB02184;Slater - 40\' up
SAB02185;Slater - up to 40\'
SAB02186;Slaughterer
SAB02187;Slaughterhouse Manager
SAB02188;Sleeping Car Attendant
SAB02189;Sleeve Designer
SAB02190;Smeller
SAB02191;Smith - Gold, Silver etc
SAB02192;Smoker
OC1344;Social welfare manager
OC2635;Social work and counselling professional
OC3412;Social work associate professional
SAB02197;Social Worker
SAB02198;Sociologist
OC2519;Software and applications developer and analyst  
OC2512;Software developer
SAB02199;Solderer
SAB02200;Solicitor (in-house)
IQ0112;Solicitor (self-employed)
SAB02201;Song Writer
SAB02202;Sorter - Dry Cleaning
SAB02203;Sorter - Laundry
SAB02204;Sorter - Post Office/Telecommunications
SAB02205;Sorter (scrap metal)
SAD03295;Sound Balancer
SAD03297;Sound Mixer
SAD03303;Sound Recordist
SAB02212;Sound Technician
SAB02214;Special Air Service (SAS)
SAB02215;Special Boat Service (SBS)
SAB02217;Special Effects Technician
OC2352;Special needs teacher
OC2212;Specialist medical practitioner
SAB02218;Speech Therapist
SAB02219;Spiderman
SAB02220;Spinner
OC3422;Sports coach, instructor and official
SAB02224;Sports Equipment Maker
SAB02225;Sports Equipment Repairer
OC1431;Sports, recreation and cultural centre manager
SAB02226;Spot-Welder
SAD03298;Spray Painter
SAB02235;Stablehand
SAB02236;Staff Nurse
SAB02237;Stage Doorkeeper
SAB02238;Stage Hand
SAD03309;Stage Manager
SAC01928;Stage Technician
OC5211;Stall and market salesperson
SAB02242;Stamper (identification markings)
SAD03284;Station Manager
SAD03288;Station Officer - Fire
OC8189;Stationary plant and machine operator  
SAC01929;Stationer
OC4312;Statistical, finance and insurance clerk
OC3314;Statistical, mathematical and related associate professional
SAB02253;Statistician
OC8182;Steam engine and boiler operator
SAB02254;Steel Erector - 40\' up
SAB02255;Steel Erector - up to 40\'
SAB02258;Steeplejack
SAB02263;Stenographer
SAD03289;Steriliser
SAB02267;Stevedore
SAB02269;Stitcher
OC4321;Stock clerk
SAB02270;Stockbroker
SAB02272;Stockroom Storeman
SAB02273;Stocktaker
SAD03290;Stone Breaker
SAD03293;Stone/Slate Polisher
SAB02284;Stonemason
SAB02285;Store Detective
SAB02286;Storekeeper
SAD03304;Storeman
OC9510;Street and related service worker
OC5212;Street food salesperson
OC9520;Street vendor (excluding food)
SAD03310;Structural Engineer
OC7214;Structural-metal preparer and erector
SAB02298;Student
SAB02301;Stunt Man
SAB02305;Submariner
OC6310;Subsistence crop farmer
OC6340;Subsistence fisher, hunter, trapper and gatherer
OC6320;Subsistence livestock farmer
OC6330;Subsistence mixed crop and livestock farmer
SAB02306;Sugar Beet Cutter/Slicer
SAB02307;Sugar Boiler
SAB02310;Supermarket Cashier
SAD03282;Supermarket Manager
OC1324;Supply, distribution and related manager
SAB02317;Surgeon
SAB02318;Surgery Nurse
SAB02319;Surgery Receptionist
SAB02320;Surgical Appliance Maker
SAC01936;Surgical Shoe Maker 
OC4227;Survey and market research interviewer
SAB02322;Surveyor - Oil & Natural Gas Industries (Exploration & Production)
SAB02323;Surveyor - Ship Building, Ship Repair & Marine Engineering
OC9613;Sweeper and related labourer
SAC01937;Swimming Instructor 
SAB02325;Swimming Pool Attendant
SAB02326;Switchboard Operator
SAB02327;Sword Swallower
OC2522;Systems administrator
OC2511;Systems analyst
SAD03311;Systems Programmer
TAD03338;Tailor
TAD03340;Takeaway Food Shop Assistant
TAD03341;Takeaway Food Shop Manager - no serving
TAB02333;Tamperman
TAB02334;Tank Room Attendant
TAD03327;Tanker Driver
TAD03330;Tanker Filler
TAD03332;Tanner
TAB02338;Tarmac Layer - Construction Industry
TAB02339;Tarmac Layer - Road Maintenance & Construction
TAD03339;Tattoo Artist
TAB02340;Tax Consultant
TAB02341;Tax Inspector
TAC01941;Taxi Business Administrator
TAC01943;Taxi Business Proprietor (no driving)
TAB02342;Taxi Driver
TAB02343;Taxidermist
TAD03325;Teacher
TAC01944;Teaching Assistant
OC2359;Teaching professional  
OC2433;Technical and medical sales professional (excluding ICT)
TAD03328;Technician - admin and site visits
TAD03331;Technician - admin only
TAD03333;Technician - heavy manual
TAD03335;Technician - light manual 
TAB02360;Technician - other
TAC01945;Telecommunication Technical Officer
OC2153;Telecommunications engineer
OC3522;Telecommunications engineering technician
TAB02365;Telegraphist
TAC01946;Telephone Customer Advisor
TAB02366;Telephone Exchange Superintendent
TAB02367;Telephone Fitter
TAB02368;Telephone Operator
TAB02369;Telephone Repairer
TAB02370;Telephone Supervisor
TAC01947;Telephone Systems Sales Director
TAB02371;Telephonist
TAD03323;Telesales Caller
TAD03324;Telesales Manager
TAC01948;Television Engineer 
TAD03336;Test Engineer
TAB02380;Test Pilots
TAD03321;Tester
TAC01949;Textile Worker
OC8159;Textile, fur and leather products machine operator  
TAB02393;Thatcher
TAC01950;Theatre Sound Engineer
TAB02398;Ticket Inspector
TAB02400;Tiler - 40\' up
TAB02401;Tiler - up to 40\'
TAB02402;Timber Merchant (no manual work)
TAB02405;Timberman
OC7516;Tobacco preparers and tobacco products maker
TAC01951;Tobacconist 
TAB02412;Tool Fitter
TAB02413;Tool Maker
TAB02414;Tool Pusher
TAB02417;Tour Guide
TAB02418;Tour Manager
TAB02419;Tower Crane Driver
TAB02420;Town Planner
TAB02421;Toxicologist
TAB02426;Trackman
OC3324;Trade broker
TAD03334;Trade Union Official (full time)
OC3230;Traditional and complementary medicine associate professional
OC2230;Traditional and complementary medicine professional
OC1113;Traditional chief and heads of village
TAB02427;Traffic Warden
TAB02428;Train Crew Inspector
TAB02429;Train Crew Supervisor
TAC01953;Train Driver
TAD03326;Trainer - education/office based
OC2424;Training and staff development professional
TAD03329;Tram Driver/Conductor
TAB02432;Translator
OC4323;Transport clerk
TAC01954;Transport Company Operations Manager (Office based) 
OC5112;Transport conductor
TAC01955;Transport Manager
TAC01956;Travel Agent (office based) 
OC5111;Travel attendants and travel steward
OC4221;Travel consultants and clerk
TAB02434;Travel Courier
OC5113;Travel guide
TAB02435;Trawlerman
OC6112;Tree and shrub crop grower
TAB02436;Tree Feller
TAB02437;Tree Surgeon
TAB02438;Trenchman
TAB02443;Tugman
TAB02449;Tunneller - no explosives etc
TAB02450;Tunneller - using explosives etc
TAC01957;Turf Accountant (on course) 
TAC01958;Turf Accountant (shop)
TAD03337;Turf Cutter/Layer
TAB02451;Turner - Machining, Shaping etc - Metal Manufacture
TAB02452;Turner - Pottery Industry
TAB02453;Turnstile Operator
TAB02454;Tutor (salaried)
TAB02455;Tutor (self-employed)
TAB02457;Type Caster
TAC01959;Typesetter
OC4131;Typists and word processing operator
TAB02459;Typograph Operator
TAB02460;Typographical Designer
TAD03322;Tyre/Exhaust Fitter
UAD03343;Umpire 
UAD03344;Under Secretary
UAB02463;Undertaker
UAB02464;Undertaker\'s Director\'s Assistant
OC7541;Underwater diver
UAB02465;Underwriter
UAC01960;Unemployed
IQ0113;Unemployed - on benefits
OC2310;University and higher education teacher
UAD03342;University lecturer
UAB02467;Upholsterer
IQ0114;Used Car Salesman/Trader
UAB02469;Usher/Usherette
VAD03348;Vacuum Plant Operator
VAB02470;Valet/Valeter
VAB02471;Valuer
VAD03345;Valveman
VAB02475;Van driver
VAB02476;Varnisher
VAB02477;Vatman
VAB02478;Vehicle Body Builder
VAB02479;Vehicle Body Fitter
OC9122;Vehicle cleaner
VAC01962;Vending Machine Engineer
VAB02480;Venetian Blind Maker
VAB02481;Ventriloquist
VAD03346;Venture Capitalist
VAB02482;Verger
VAB02483;Veterinarian
VAB02485;Veterinary Assistant
VAB02492;Vicar
VAC01963;Video Conference Engineer
VAB02493;Video Recorder Operator
VAD03347;Vintner
VAB02495;Vision Mixer
OC2651;Visual artist
VAB02496;Vocational Training Instructor
WAD03356;Wages Clerk
WAB02499;Wages Inspector
WAB02503;Waiter, Waitress
WAB02506;Wallpaper Printer
WAB02507;Warden
WAB02508;Wardrobe Mistress
WAB02510;Warehouse Manager
WAB02513;Warehouseman
WAD03352;Washer
WAD03353;Waste Disposal/Recycling Operative
WAB02518;Wasteman, Salvage Man
WAC01964;Watch & Clock Maker 
WAC01965;Watch & Clock Repairer
WAB02519;Watchman (inland waterways)
WAB02520;Watchstander
OC9624;Water and firewood collector
WAB02521;Water Bailiff
WAB02522;Water Infusion Man
WAD03351;Water Meter Reader/Fitter/Tester
WAB02524;Water Skiing - Prof. Instructor
WAD03354;Water Treatment Plant Operator
WAD03355;Waterworks Manager
WAD03357;Weaver
OC8152;Weaving and knitting machine operator
OC2513;Web and multimedia developer
OC3514;Web technician
WAD03359;Website/Webpage Designer
WAB02529;Wedding Photographer
WAB02530;Weighbridge Clerk
WAD03349;Weighbridgeman 
WAB02538;Weights & Measures Inspector
WAB02541;Welder - 40\' up
WAB02542;Welder - up to 40\'
WAB02546;Welfare Officer
WAB02547;Welfare Worker
OC8113;Well driller and borer and related worker
WAB02556;Wicker Worker
WAB02558;Wig Maker
WAB02561;Winch Operator
WAB02562;Winchman
WAB02564;Window Cleaner (40\' up)
WAB02565;Window Cleaner (up to 40\')
WAB02566;Window Dresser
WAD03358;Window/Conservatory Fitter
WAD03360;Windscreen Fitter/Repairer
WAB02567;Wire Winder
WAB02570;Wood Carver
OC8172;Wood processing plant operator
OC7521;Wood treater
WAD03350;Wood Worker
WAB02574;Woodcutter
WAB02575;Woodman
OC7523;Woodworking-machine tool setter and operator
WAC01966;Working Partner
WAB02581;Wrapping Machine Attendant
WAB02583;Writer
XAD03362;X-ray Technician - Radiologist
YAD03363;Yacht & Boat Builder
YAD03365;Yard Assistant
YAB02585;Yard Cleaner
YAD03364;Yarn Worker
YAD03366;Yoga Teacher
YAC01967;Youth Hostel Assistant and Cook 
YAC01968;Youth Hostel Manager (some manual work) 
YAB02586;Youth Leader (Full time)
YAD03367;Youth Worker (full time)
ZAD03370;Zoo Curator
ZAD03385;Zoo Director
ZAD03368;Zoo Keeper
ZAD03369;Zoo Keeper - large zoos
ZAD03371;Zoo Keeper - small zoos
ZAD03372;Zoological Research Associate
ZAD03373;Zoological Researcher
ZAD03374;Zoologist
ZAB02587;Zoologist (no overseas field work)
