Code;Description
BAB00236;Bronzer
BAB00237;Broom/Brush Maker
BAB00238;Buffet Car Attendant
BAC02621;Builder 
OC7411;Building and related electrician
OC2161;Building architect
OC5153;Building caretaker
OC9313;Building construction labourer
OC7119;Building frame and related trades worker
BAB00239;Building Inspector
BAC02623;Building Site Agent - Building and construction
BAD03041;Building Society worker 
OC7133;Building structure cleaner
BAB00241;Building Surveyor
BAB00243;Bulldozer Driver
BAD03042;Bunker Control man
BAC02625;Burglar Alarm Fitter
BAB00250;Bus Conductor (No driving)
BAB00251;Bus Driver
BAB00252;Bus Inspector
BAB00253;Business Consultant
OC3339;Business services agent
OC1219;Business services and administration manager
BAB00255;Butcher
BAC02627;Butcher Shop Proprietor 
BAB00256;Butler
BAB00257;Butter Blender
BAB00258;Butter Maker
OC3323;Buyer
BAC02628;Buyer - retail
BAD03044;Buyer - stocks and shares
CAB00259;Cabin Boy
CAB00260;Cabinet Maker
CAB00261;Cable Former
CAB00262;Cable Hand
CAB00263;Cable Jointer
CAB00264;Cable Laying Diver
CAB00265;Cable Tester
CAB00266;Cafe Cashier
CAC02629;Cafe Manager
IQ0104;Cafe Proprietor
CAD03046;Café Worker
CAB00270;Calibrator
CAD03047;Call Centre Manager
CAD03048;Call Centre Worker
CAB00271;Caller
CAC02630;Calligrapher
CAC02631;Camera Repair Technician
CAD03049;Cameraman Outside Work
CAB00273;Cameraman Studio
CAD03050;Cameraman War or Disaster reporting
CAB00275;Candle Maker
CAB00276;Canine Beautician
CAC02632;Canine Behaviourist 
CAB00277;Canning Machine Attendant
CAB00278;Canteen Assistant
CAB00279;Canteen Manager
CAB00280;Canvasser
CAB00282;Captain - Merchant Marine
CAB00281;Captain - Oil & Natural Gas Industries 
CAB00284;Car Delivery Driver
CAC02633;Car Hire Company Proprietor (admin. and driving)
CAB00285;Car Lasher
CAB00286;Car Park Attendant
CAC02634;Car Rental Company Manager
CAD03051;Car Rental Company Worker
IQ0105;Car Salesman
CAB00289;Car Valeter
CAB00306;Car Wash Attendant
CAD03052;Caravan Site Manager
CAD03053;Caravan Site Staff
CAB00290;Carbon Printer
CAB00291;Carbonation Man
CAB00292;Carboniser
CAB00293;Care Assistant
CAC02635;Care Worker - Residential 
CAC02636;Careers Advisor 
CAB00294;Caretaker, Janitor
CAB00295;Cargo Clerk
CAB00296;Cargo Superintendent
CAB00297;Carpenter - Construction Industry
CAB00298;Carpenter - Film Industry - Entertainment
CAB00299;Carpenter & Joiner
CAC02637;Carpet Cleaner
CAC02638;Carpet Company director (office based admin. only)
CAC02639;Carpet Designer 
CAB00300;Carpet Fitter
CAC02640;Carpet Salesman 
CAC02642;Carpet Shop Assistant
CAC02643;Carpet Shop Manager (admin.) 
CAC02644;Carpet Shop Owner (no manual duties) 
CAB00302;Carriage Cleaner
CAB00301;Carriage Examiner
CAB00303;Cartographer
CAB00304;Cartoonist
CAB00305;Cartridge Filler
CAC02645;Cashier - Bank, Building Society
CAC02646;Cashier - Shop, cafe, supermarket, bingo
OC5230;Cashier and ticket clerk
CAB00309;Casino Cashier
IQ0003;Casino Manager/Casino Operator
CAB00310;Caster
CAB00311;Casting Director
CAB00312;Casting Machine Operator
CAC02647;Caterer - offshore/at sea
CAC02648;Catering Assistant
CAC02649;Catering Manager
CAB00317;Cathead Man
CAD03054;Caulker
CAD03055;CC TV Installer/Maintenance - 40 ft and over
CAD03056;CC TV Installer/Maintenance - under 40 ft
CAB00323;Ceiling Fixer
CAB00324;Cell Tester
OC8114;Cement, stone and other mineral products machine operator
CAB00325;Cementer
CAD03057;Cemetery Worker
CAB00326;Ceramicist
CAB00328;Chain Maker
CAB00329;Chair Maker
CAC02653;Chambermaid - Housekeeper
CAB00330;Charge Nurse
CAD03058;Charity Worker - Admin Only
CAD03391;Charity Worker - Overseas Work
CAD03390;Charity Worker - UK Work
IQ0106;Chartered Accountant (in-house)
IQ0004;Chartered Accountant (self-employed)
CAC02654;Chartered Engineer (some site duties)
CAC02655;Chartered Engineered (admin. only)
CAC02656;Chartered Surveyor (admin only) 
CAC02657;Chartered Surveyor (some site duties)
CAB00332;Chassis Builder
CAB00333;Chauffeur
CAB00336;Chef
OC3111;Chemical and physical science technician
CAB00340;Chemical engineer - offshore
CAD03059;Chemical engineer - UK
CAB00344;Chemical Plumber
CAB00345;Chemical Plumber\'s Mate
OC3133;Chemical processing plant controller
OC8131;Chemical products plant and machine operator
CAD03060;Chemist - industrial
CAD03061;Chemist - retail
OC1341;Child care services manager
OC5311;Child care worker
CAC02658;Child Protection Co-ordinator
CAD03062;Child Support Agency (CSA) worker
CAC02659;Child Welfare Officer
CAB00368;Childminder
CAB00370;Children\'s Inspector
CAB00371;Children\'s Matron
CAC02660;Children\'s Nursery Proprietor
CAC02661;Children\'s Play-group Leader
CAB00372;Chimney Sweep
CAC02662;Chip Shop Owner 
CAD03063;Chip Shop Worker
